timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747991160437,428,Report Data Collection-1,200,OK,EasySR 1-10,text,true,,1983,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,428,0,0
1747991160022,923,Report Data Collection,200,OK,EasySR 1-9,text,true,,3058,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,454,0,0
1747991160022,454,Report Data Collection-0,301,Moved Permanently,EasySR 1-9,text,true,,1071,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,454,0,0
1747991160476,469,Report Data Collection-1,200,OK,EasySR 1-9,text,true,,1987,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,469,0,0
1747991160070,891,Report Chapter Writing,200,OK,EasySR 1-1,text,true,,3050,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,448,0,0
1747991160070,448,Report Chapter Writing-0,301,Moved Permanently,EasySR 1-1,text,true,,1061,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,448,0,0
1747991160519,442,Report Chapter Writing-1,200,OK,EasySR 1-1,text,true,,1989,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,442,0,0
1747991160133,890,Report Chapter Writing,200,OK,EasySR 1-2,text,true,,3047,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,453,0,0
1747991160133,453,Report Chapter Writing-0,301,Moved Permanently,EasySR 1-2,text,true,,1062,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,453,0,0
1747991160586,437,Report Chapter Writing-1,200,OK,EasySR 1-2,text,true,,1985,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,437,0,0
1747991160285,895,Report Chapter Writing,200,OK,EasySR 1-3,text,true,,3048,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,440,0,0
1747991160285,440,Report Chapter Writing-0,301,Moved Permanently,EasySR 1-3,text,true,,1059,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,440,0,0
1747991160725,455,Report Chapter Writing-1,200,OK,EasySR 1-3,text,true,,1989,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,455,0,0
1747991160418,870,Report Chapter Writing,200,OK,EasySR 1-6,text,true,,3045,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,431,0,0
1747991160418,432,Report Chapter Writing-0,301,Moved Permanently,EasySR 1-6,text,true,,1062,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,431,0,0
1747991160850,438,Report Chapter Writing-1,200,OK,EasySR 1-6,text,true,,1983,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,438,0,0
1747991160418,882,Report Chapter Writing,200,OK,EasySR 1-5,text,true,,3047,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,451,0,0
1747991160418,451,Report Chapter Writing-0,301,Moved Permanently,EasySR 1-5,text,true,,1062,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,451,0,0
1747991160869,431,Report Chapter Writing-1,200,OK,EasySR 1-5,text,true,,1985,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,431,0,0
1747991160422,908,Report Chapter Writing,200,OK,EasySR 1-4,text,true,,3044,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,455,0,0
1747991160422,455,Report Chapter Writing-0,301,Moved Permanently,EasySR 1-4,text,true,,1057,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,455,0,0
1747991160877,453,Report Chapter Writing-1,200,OK,EasySR 1-4,text,true,,1987,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,453,0,0
1747991160722,899,Report Chapter Writing,200,OK,EasySR 1-7,text,true,,3050,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,458,0,0
1747991160722,458,Report Chapter Writing-0,301,Moved Permanently,EasySR 1-7,text,true,,1061,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,458,0,0
1747991161180,441,Report Chapter Writing-1,200,OK,EasySR 1-7,text,true,,1989,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,441,0,0
1747991160752,892,Report Chapter Writing,200,OK,EasySR 1-8,text,true,,3045,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,460,0,0
1747991160752,460,Report Chapter Writing-0,301,Moved Permanently,EasySR 1-8,text,true,,1056,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,460,0,0
1747991161212,432,Report Chapter Writing-1,200,OK,EasySR 1-8,text,true,,1989,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,432,0,0
1747991160866,878,Report Chapter Writing,200,OK,EasySR 1-10,text,true,,3062,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction/chapter-writing,451,0,0
